Source Name	Sample Name	Characteristics: Organism	Characteristics: Strain	Comment: Animal Source	Characteristics: Genotype	Factor Value: Spaceflight	Factor Value: Tissue	Characteristics: sex	Factor Value: Space Mission	Characteristics: Age at Launch	Characteristics: Material Type	Protocol REF	Parameter Value: duration	Parameter Value: habitat	Parameter Value: Enrichment material	Protocol REF	Parameter Value: Euthanasia Method	Parameter Value: Collection Condition	Parameter Value: Sample Preservation Method	Parameter Value: Sample Storage Temperature
RR9_Viv20	Viv20_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR1_M31	M31_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Vivarium Cage	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR1_M32	M32_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Vivarium Cage	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR1_M39	M39_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Vivarium Cage	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR1_M40	M40_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Vivarium Cage	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR9_Viv12	Viv12_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv13	Viv13_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv14	Viv14_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv15	Viv15_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv16	Viv16_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv17	Viv17_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv18	Viv18_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv19	Viv19_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv20	Viv20_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
