Source Name	Sample Name	Factor Value Space Mission	Spaceflight	Tissue	0	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000
RR9_GC12	GC12_sol	RR-9	Ground_Control	soleus_muscle	1	0.99975663	1.00039876	1.00040839	0.99908039	0.99804605	0.9982358	0.9978467	0.99672137	0.9963979	0.99593642	0.99504254	0.99497136	0.99461873	0.99629679	0.99609095	0.99553494	0.99490158	0.99396045	0.99349073	0.99364318	0.9936781	0.99415787	0.99314719	0.99288349	0.99307901	0.99423764	0.99393178	0.99242811	0.99230779	0.99187477	0.99135934	0.99173192	0.99243209	0.9920373	0.99112916	0.99175809	0.99267528	0.99232733	0.99160964	0.98981233	0.98902216	0.98925931	0.98785224	0.98733755	0.98614045	0.98555402	0.98420616	0.98387536	0.9839158	0.98223806
RR9_GC13	GC13_sol	RR-9	Ground_Control	soleus_muscle	1	1.00009202	1.000327	0.99947633	0.998776	0.99923566	0.9987566	0.99968548	0.9993904	0.99842559	0.99842988	0.99872713	1.00071846	1.00091928	1.00191949	1.00203659	1.00230441	1.00203521	1.00320185	1.00427902	1.00600767	1.0038892	1.00221861	1.00319457	1.00169426	1.00136565	0.99931936	1.00131745	1.000802	1.00221429	1.00235292	1.00357627	1.00338509	1.00223845	1.00175934	1.00206988	1.00282847	1.00137733	1.00198797	1.00311198	1.00404529	1.00301062	1.00333286	1.00222891	1.00250456	1.00191624	1.00134885	1.00304048	1.00259803	1.00327143	1.0034073
RR9_GC14	GC14_sol	RR-9	Ground_Control	soleus_muscle	1	0.999553	0.99843728	0.99802142	0.99666985	0.99447314	0.99265138	0.99082482	0.98810478	0.98712526	0.98628601	0.98482212	0.98379689	0.98200141	0.98081013	0.97954444	0.97778278	0.9751068	0.97358718	0.9727039	0.97312371	0.97250696	0.97185775	0.97150926	0.97165386	0.9713873	0.97078942	0.9713583	0.97125825	0.96994556	0.97031806	0.97155729	0.97236634	0.97256651	0.97159333	0.97185906	0.97211474	0.97120582	0.97078374	0.96993879	0.97015303	0.96969366	0.96984681	0.9714708	0.97068044	0.97045623	0.96931466	0.96911847	0.9690591	0.96874609	0.96786618
RR9_GC15	GC15_sol	RR-9	Ground_Control	soleus_muscle	1	1.00170908	1.00044439	1.00164364	1.00250146	1.00391494	1.0053584	1.00703813	1.00863036	1.00740218	1.00746012	1.00832235	1.00657055	1.00884134	1.00833757	1.00806912	1.00959046	1.01034851	1.01231458	1.01091357	1.01164801	1.01250404	1.01211825	1.01302654	1.0135567	1.01269096	1.01272122	1.01124128	1.01067747	1.01044324	1.00962691	1.00986453	1.00974938	1.0120206	1.01146946	1.01141714	1.01049547	1.00992276	1.00842025	1.00801146	1.0073118	1.00712435	1.00762821	1.00762097	1.00621543	1.00564987	1.00416269	1.00308679	1.00309457	1.00212319	1.00201444
RR9_GC16	GC16_sol	RR-9	Ground_Control	soleus_muscle	1	0.99807099	0.9973657	0.99456498	0.99185176	0.99005592	0.98830075	0.98788018	0.98594062	0.9843779	0.98421756	0.98297206	0.98152756	0.9814695	0.98121885	0.97989728	0.97989744	0.97989623	0.97999129	0.97983286	0.98008293	0.98067568	0.98026759	0.98025144	0.98138816	0.9825942	0.98392422	0.98270984	0.9822722	0.9829392	0.98324262	0.98311503	0.98352143	0.98382617	0.98341673	0.98318093	0.9825315	0.98286324	0.98185821	0.98044847	0.9785299	0.97855889	0.978031	0.97784926	0.97723213	0.97690812	0.97611151	0.97612802	0.97565674	0.97447699	0.97497523
RR9_GC17	GC17_sol	RR-9	Ground_Control	soleus_muscle	1	1.00003383	0.99809048	0.9979089	0.99765721	0.99872691	1.00056291	1.00228475	1.00302555	1.00253482	1.00353642	1.00451496	1.00434051	1.00133635	0.99819986	0.99774326	0.99650144	0.99554918	0.99440371	0.99361116	0.99298892	0.99182344	0.99296781	0.99397539	0.99274779	0.99165192	0.98959221	0.9894138	0.9897948	0.98963978	0.98783602	0.98683289	0.98728353	0.98661039	0.98545535	0.98429999	0.98177928	0.9800293	0.97816062	0.97813649	0.97888351	0.97799274	0.97699789	0.97417783	0.97303143	0.9728772	0.97135328	0.97242424	0.97220371	0.97302516	0.97304554
RR9_GC18	GC18_sol	RR-9	Ground_Control	soleus_muscle	1	1.0003267	0.99943351	0.99810656	0.99886545	0.99932085	0.99913971	0.99904476	0.99945441	0.99985104	1.00010451	1.00102277	1.00075957	1.00108657	1.00265899	1.00286358	1.00297175	1.00341449	1.00404131	1.00394817	1.00402803	1.00383382	1.00366509	1.00353855	1.00332138	1.00217554	1.00162054	1.00240498	1.00226129	1.00299119	1.00331966	1.00411228	1.004141	1.00466769	1.00521285	1.00535718	1.0061196	1.00698443	1.00722011	1.00771839	1.00723184	1.00670211	1.00633959	1.00650539	1.00740162	1.00525936	1.00531295	1.00496753	1.00457217	1.0047921	1.00428033
RR9_GC19	GC19_sol	RR-9	Ground_Control	soleus_muscle	1	0.99778406	0.99782326	0.9974034	0.99664303	0.99633025	0.99558719	0.9948112	0.99421796	0.99461006	0.99408103	0.99337617	0.99321148	0.99379082	0.99443832	0.99434329	0.99446184	0.9948012	0.9957791	0.99762697	0.9985318	0.99904472	0.99965832	0.99862802	0.99934337	0.99949992	0.9995308	1.00013071	0.99943277	1.00000195	0.99933793	0.99906397	0.99788112	0.99606988	0.99581655	0.9940341	0.99368677	0.99547294	0.99601746	0.996512	0.99794927	0.99722789	0.99756755	0.99756198	0.99777901	0.99716536	0.9969553	0.99809055	0.99801488	0.9990585	0.99959695
RR9_GC20	GC20_sol	RR-9	Ground_Control	soleus_muscle	1	1.00159042	0.99758825	0.99491555	0.99475997	0.99125674	0.99201501	0.99468971	0.99655439	0.99259896	0.99399451	0.99637576	0.99821659	0.99864458	0.9988255	0.99875618	0.999229	0.99990209	1.0000616	1.00331685	1.00490625	1.00480164	1.00569399	1.00289069	1.00269697	1.00252766	1.00203895	1.00311094	1.00275963	1.0039792	1.00162058	1.00169107	0.99997359	0.99770109	0.9969775	0.9965335	0.99289577	0.99635379	0.9975466	0.99649594	0.9978156	0.99710587	0.99619993	0.9963363	0.9988046	0.99701938	0.9951721	0.99727903	0.99802425	0.99793586	0.99975848
RR1_M31	M31_sol	RR-1	Ground_Control	soleus_muscle	1	1.00117024	1.00296646	1.00044669	1.00255832	1.00331627	1.00372845	1.00334552	1.00378179	1.00090711	1.00378392	1.00035984	1.00056397	0.99965299	0.99987494	1.00089002	1.00121024	0.99640737	0.99794266	0.99383678	0.99255145	0.99171136	0.99211317	0.98971683	0.98910765	0.98985293	0.98943689	0.99004204	0.98828509	0.98689969	0.98778523	0.98770314	0.98409925	0.98414856	0.98300309	0.98245286	0.98075457	0.97931796	0.98114198	0.97783809	0.97901723	0.97668214	0.97679633	0.97596616	0.97608142	0.97337449	0.97669783	0.97541446	0.97586648	0.97470599	0.97219429
